method,JAM2,SH2D2A,Overall
GlobalMean,1.297987954266058,1.6491426480466025,1.4735653011563303
TissueMean,1.0429989289663812,1.2372735816896316,1.1401362553280063
Pool,0.3174865146484362,0.6786404998053597,0.4980635072268979
STL,0.3220016838073237,0.7844701088971214,0.5532358963522226
HPS,0.2845133467662609,0.6918244915338818,0.4881689191500712
MMoE,0.3139360133050567,0.7502683422642523,0.5321021777846545
ARMUL,0.2806360189032241,0.6831419763862936,0.4818889976447589
FLARCC,0.2857610339223823,0.6886830902470079,0.487222062084695
COVER,0.2808201990650559,0.6802090438227546,0.4805146214439053
