method,Homogeneous,Covariate only,Posterior only,Both--moderate,Both--strong
Pool,0.10223203024656899,0.018734644016350527,1.133527275681274,0.10649082956162545,0.15812152024038606
STL,0.3912050294937409,0.05546913953208852,0.6373990190633667,0.15370307219629425,0.15747782340795932
HPS,0.22797722957291222,0.03332114239093174,0.7707836308148981,0.11671726336833825,0.12977974053592292
MMoE,0.2650823426353457,0.042890219994539215,0.7685175057490418,0.1323742227729031,0.1428249566453568
ARMUL,0.10418451027517144,0.021154675851866308,0.6878352717627277,0.10048313564992314,0.11291064011492213
FLARCC,0.10433316844541542,0.020802176170560946,0.7330921069282783,0.11895637055696287,0.13572417468700823
COVER,0.10221924870002441,0.019284388608651233,0.6572615852961373,0.08846281252626799,0.10584649657285268
