comparator,mse_difference_mean,mse_difference_sd,relative_gain_mean,relative_gain_sd,cover_win_fraction
STL,0.07272127490831728,0.017918172784906237,0.13069926888378225,0.02864819137127763,1.0
MMoE,0.051587556340749255,0.01908772871383122,0.0958934227268711,0.03285662847802358,1.0
Pool,0.017548885782992643,0.013230364168062185,0.034891843492827285,0.026257984049450313,0.9
HPS,0.007654297706166044,0.0064769390950097155,0.015598559491844178,0.013197075355236355,0.8
FLARCC,0.006707440640789789,0.008052733066596166,0.013605913655314383,0.016446449930259267,0.7
ARMUL,0.0013743762008536081,0.00890334115182229,0.0027231681490069272,0.018626731673894885,0.55
