index,method,fit_seconds_mean,fit_seconds_sd
0,ARMUL,42.07976023452356,1.7060647659763304
1,COVER,160.86809937353246,10.797714702506607
2,FLARCC,24.329747498314827,1.5916732033025682
3,HPS,77.3877027769573,2.7350076324459742
4,MMoE,217.22004869715312,8.611627539587706
5,Pool,50.76613605157472,4.372827661150923
6,STL,214.33821594500915,11.415524453687203
