index,response,left_tissue,right_tissue,normalized_overlap_trace_mean,normalized_overlap_trace_std,overlap_effective_rank_mean,overlap_effective_rank_std,supported_contrast_fraction_mean,supported_contrast_fraction_std,overlap_weighted_head_energy_mean,overlap_weighted_head_energy_std,pairwise_penalty_contribution_mean,pairwise_penalty_contribution_std,overlap_eigenvalue_1_mean,overlap_eigenvalue_1_std,overlap_eigenvalue_2_mean,overlap_eigenvalue_2_std,overlap_eigenvalue_3_mean,overlap_eigenvalue_3_std,overlap_eigenvalue_4_mean,overlap_eigenvalue_4_std,overlap_eigenvalue_5_mean,overlap_eigenvalue_5_std,overlap_eigenvalue_6_mean,overlap_eigenvalue_6_std,overlap_eigenvalue_7_mean,overlap_eigenvalue_7_std,overlap_eigenvalue_8_mean,overlap_eigenvalue_8_std
0,JAM2,brain_amygdala,brain_anterior_cingulate_cortex_ba24,0.5831151931562728,0.0616419822011677,3.1193971815695476,0.2528940479408499,0.6674034190174852,0.06635324383310363,0.0638648961457963,0.0191203643607726,9.093272457631586e-05,3.878199896045315e-05,1.8433335908906152,0.4286122149471775,0.616538753836615,0.15506683077406863,0.38095769014174446,0.08048325739780823,0.24829881758022793,0.05861685492045483,0.14115959337560455,0.02744401603988576,0.08451808902285655,0.017697402132857955,0.05103770412785985,0.006653063137161346,0.030003099192534643,0.005593663342512496
1,JAM2,brain_amygdala,brain_caudate_basal_ganglia,0.38973980480780585,0.06955334748411032,4.104018039436091,0.3736999687463096,0.29829375562563115,0.06778956463073665,0.1297849461063148,0.0507634556713401,0.00011105779192382073,1.990526211274522e-05,1.0675525732214057,0.32978213653076666,0.5324404018398786,0.15427847975664755,0.3246397226715544,0.08426942667709583,0.20955841377969678,0.04531102880922761,0.1280920820493777,0.019376950025348953,0.08179893088712872,0.014785073535211461,0.052255078591802714,0.006500739130956548,0.03126876278546547,0.004786006934620598
2,JAM2,brain_amygdala,brain_cerebellar_hemisphere,0.31162337876049667,0.05454656185129261,4.170326541107283,0.46555590083252857,0.35001546118454663,0.07501207943779763,0.08919103399031678,0.02867100465490458,8.898450959013903e-05,2.2726013426273225e-05,0.9812190241914871,0.35664018492107863,0.46057871045412113,0.1263129264336805,0.2826135209760179,0.06275160715728091,0.18802720827408065,0.04003542878569334,0.1181487343352148,0.02100139285425568,0.07490192333118262,0.012814025527809863,0.047919907373207164,0.00755946235155056,0.027363302869175165,0.0047569635001026836
3,JAM2,brain_amygdala,brain_cerebellum,0.36033294874451355,0.06788848134558866,4.1402430103722265,0.4203379573360018,0.37142208867358856,0.09206596150993704,0.15737862275398357,0.06510074827610315,0.00014567583239914275,2.296032104727409e-05,1.0637968585137336,0.3332353946098458,0.49038237282347497,0.1376114552378094,0.2999038081353742,0.08023435845927486,0.1926014991544791,0.0412358568345933,0.11466434322264071,0.021556159987736957,0.07330851221062204,0.013577996845900867,0.04614368333346673,0.006751301222604899,0.027036569578347575,0.004506326483696654
4,JAM2,brain_amygdala,brain_cortex,0.47072993856996675,0.08321263221959269,3.835633461065749,0.5013770319136203,0.4573351485102718,0.11296820561034217,0.12660005072828556,0.03987801573217427,0.00012624046679792457,3.8065141151099566e-05,1.3390566585542185,0.44432655986476405,0.5091111162320193,0.14319766026752126,0.31796300937383437,0.06691576062375361,0.21220793417966477,0.041007572669971286,0.1276074139541173,0.02107974289291087,0.07647264220349805,0.014045506923549216,0.04760847872835898,0.004974767144357022,0.029080044554047623,0.005589845635951345
5,JAM2,brain_amygdala,brain_frontal_cortex_ba9,0.4751108974983416,0.07960183145201952,3.870421656704289,0.42857702706535733,0.3924052865408122,0.0849626990696677,0.20844145260279281,0.07236405320675054,0.00018646761791735306,4.094048870904732e-05,1.3030680726440949,0.4495808916625124,0.5090859144434642,0.135779666157312,0.33979015074158164,0.07515090516942625,0.23341557937246726,0.049262938621157305,0.13669551909413763,0.025480205102061646,0.08190658133569506,0.01601223178056363,0.05026401884750222,0.006121367654478462,0.030426735464273696,0.005426541459929009
6,JAM2,brain_amygdala,brain_hypothalamus,0.5110489044871251,0.07416367286446494,3.6556034061291323,0.4508504833743846,0.5396205591330018,0.12301658502243287,0.06818804988021962,0.01973017540712125,9.056926122830803e-05,2.7557388991010888e-05,1.5173679081907865,0.4362644045177354,0.5517587323653473,0.1641155482347003,0.36942295881066756,0.08853972497576831,0.25939922703601326,0.058993972597326236,0.1518887553535165,0.02504010430241658,0.09314320501618645,0.019019335880504112,0.058141422474196805,0.009021508769464748,0.034358624864749235,0.006890330261241832
7,JAM2,brain_amygdala,brain_nucleus_accumbens_basal_ganglia,0.4417241642661608,0.05539151248839748,3.8119209744192646,0.3223621541933941,0.41950555772442966,0.09192386203146394,0.05229069325268557,0.016493786643914748,6.991896976973358e-05,2.0610569931601046e-05,1.346364740922342,0.38769487874549147,0.5905202662893096,0.15730610660561586,0.3710988342852174,0.08884412436494503,0.24256216630681632,0.04694055959412643,0.1407988917802429,0.025235179466206042,0.08873380036091855,0.016714348125125216,0.054661842962456755,0.007812142463684273,0.033195159068019287,0.006293663380348814
8,JAM2,brain_amygdala,brain_putamen_basal_ganglia,0.4128209446793304,0.06747545091338555,4.001195530452349,0.38631938307416985,0.3910807151538576,0.0883533963276149,0.09626424557977382,0.03866114363242607,7.930147947107934e-05,1.2574364000513464e-05,1.2194629268573594,0.3854624180527432,0.5363640503072323,0.1502489040434973,0.33037710210506493,0.07982973095568098,0.21993907102948543,0.04666141865003047,0.13257590062523467,0.024652832861291583,0.08404266356762267,0.01301947707358618,0.052041480759452884,0.006634558747582215,0.031144271144289404,0.004555673646066142
9,JAM2,brain_amygdala,brain_spinal_cord_cervical_c-1,0.44408894553450223,0.07376005403558604,3.9231003384859235,0.48236915405945935,0.4281032810517744,0.1180417928132817,0.060725725749049594,0.020145613819766383,6.165588320253374e-05,1.5526418141776182e-05,1.4167747622247717,0.4346693843848185,0.5579139364902783,0.16287981784935865,0.37263243272767366,0.09401350322571916,0.2502772599785489,0.05419629919551118,0.14936905268969952,0.025880381664695067,0.09293823456997061,0.017087701792377594,0.05754447340878991,0.007700725009322151,0.034734225650790825,0.006348962496822482
