method,standardized_mse_mean,standardized_mse_sd,raw_mse_mean,raw_mse_sd,standardized_mean_sd
COVER,0.4805146214439053,0.020255527572348442,0.06307239983168712,0.0012852098852038551,0.4805 (0.0203)
ARMUL,0.4818889976447589,0.019842449853090766,0.06321349814768253,0.0011628171167706593,0.4819 (0.0198)
FLARCC,0.48722206208469504,0.02108422782241381,0.06405149365576654,0.0012650486877759531,0.4872 (0.0211)
HPS,0.48816891915007127,0.02065529849572802,0.06378040316180093,0.0013878361572919496,0.4882 (0.0207)
Pool,0.49806350722689796,0.0212334503291326,0.06763001239750832,0.0014177151162907326,0.4981 (0.0212)
MMoE,0.5321021777846545,0.028857049892708948,0.06933369180376665,0.002010109377443557,0.5321 (0.0289)
STL,0.5532358963522226,0.02751488240825839,0.07160879440862704,0.001425314595808676,0.5532 (0.0275)
