method,tissue,standardized_mse,raw_mse,selected_coupling,fit_seconds,train,validation,test,response,test_fold,cv_repeat,standardized_sse,raw_sse
Pool,brain_amygdala,0.2992517883727889,0.0845015022580207,0.0,5.999669480137527,96,28,28,JAM2,0,0,8.379050074438089,2.3660420632245796
Pool,brain_anterior_cingulate_cortex_ba24,0.4641873526508678,0.0780971041622898,0.0,5.999669480137527,109,34,33,JAM2,0,0,15.318182637478637,2.5772044373555634
Pool,brain_caudate_basal_ganglia,0.261349120143151,0.0674450983635532,0.0,5.999669480137527,147,47,52,JAM2,0,0,13.59015424744385,3.507145114904766
Pool,brain_cerebellar_hemisphere,0.1131943416841007,0.0343409935326279,0.0,5.999669480137527,129,42,44,JAM2,0,0,4.980551034100431,1.5110037154356277
Pool,brain_cerebellum,0.2209375551087598,0.0528401078693029,0.0,5.999669480137527,142,46,53,JAM2,0,0,11.709690420764268,2.8005257170730538
Pool,brain_cortex,0.4648973082100869,0.0889818746809719,0.0,5.999669480137527,150,49,56,JAM2,0,0,26.034249259764866,4.982984982134427
Pool,brain_frontal_cortex_ba9,0.2448677870671845,0.0409780826457557,0.0,5.999669480137527,123,44,42,JAM2,0,0,10.28444705682175,1.7210794711217394
Pool,brain_hypothalamus,0.2617823048138176,0.066815557520458,0.0,5.999669480137527,121,39,42,JAM2,0,0,10.994856802180339,2.806253415859236
Pool,brain_nucleus_accumbens_basal_ganglia,0.3179748833673674,0.0883907299141474,0.0,5.999669480137527,152,50,44,JAM2,0,0,13.990894868164165,3.8891921162224854
Pool,brain_putamen_basal_ganglia,0.2375392582958075,0.0606748708875723,0.0,5.999669480137527,119,44,42,JAM2,0,0,9.976648848423915,2.5483445772780366
Pool,brain_spinal_cord_cervical_c-1,0.2216913599148807,0.1399222136884511,0.0,5.999669480137527,95,27,37,JAM2,0,0,8.202580316850586,5.17712190647269
STL,brain_amygdala,0.2110336622998082,0.059590826802782,0.0,23.13137317914516,96,28,28,JAM2,0,0,5.9089425443946295,1.668543150477896
