cv_repeat,response,left_tissue,right_tissue,normalized_overlap_trace,overlap_effective_rank,supported_contrast_fraction,overlap_weighted_head_energy,pairwise_penalty_contribution,overlap_eigenvalue_1,overlap_eigenvalue_2,overlap_eigenvalue_3,overlap_eigenvalue_4,overlap_eigenvalue_5,overlap_eigenvalue_6,overlap_eigenvalue_7,overlap_eigenvalue_8
0,JAM2,brain_amygdala,brain_anterior_cingulate_cortex_ba24,0.6042016818184678,2.753134701688385,0.7335184019827721,0.0481745164356505,8.767041099765131e-05,2.175493403823098,0.5214735523134711,0.3870552990996452,0.2679627591272452,0.14701059655742427,0.08226665585786604,0.04533652095952646,0.02736219738762688
0,JAM2,brain_amygdala,brain_caudate_basal_ganglia,0.4148767153726859,3.704025755800616,0.3165907922920598,0.1550033844055459,0.00012808529846427408,1.4605040482448675,0.4275874308596648,0.30621356432486097,0.2259666794822416,0.14237190050865633,0.08991446107651714,0.05388860192296156,0.02482776678131536
0,JAM2,brain_amygdala,brain_cerebellar_hemisphere,0.2970187705635589,4.073657988301973,0.3734407221798411,0.07102707796114463,8.767006756822928e-05,0.8546361541116184,0.4215567163237862,0.27997456142445826,0.22845964554136783,0.12797125480870813,0.06448083182973884,0.04069882866067928,0.02478055639959454
0,JAM2,brain_amygdala,brain_cerebellum,0.41059083049753947,3.638998120752022,0.3785728294231158,0.11250312525915737,0.00014157794692979704,1.160880345649708,0.43834622797827993,0.3101986493859462,0.22790741533809117,0.11557915345457248,0.06361996563781305,0.0475832881654081,0.025630898454730176
0,JAM2,brain_amygdala,brain_cortex,0.5467857787320597,3.2842405054650063,0.5618767129071737,0.14695060428242765,9.516226497380778e-05,2.019793809705404,0.49926490829674003,0.3551285963669774,0.23164817241699423,0.12454392098021709,0.08513151524345733,0.0459867894778722,0.022746718002972722
0,JAM2,brain_amygdala,brain_frontal_cortex_ba9,0.5431159344530718,3.4045036710909478,0.47342858527703974,0.25519592741513486,0.00018166674570512,1.6707328952180784,0.4472240412187694,0.36755583295414895,0.2489058489607948,0.1374184707645999,0.0856438306091238,0.04762452616633994,0.0247491727396434
0,JAM2,brain_amygdala,brain_hypothalamus,0.5499587890524069,3.48253241003855,0.5440499704609717,0.058765438686471216,7.674586777704454e-05,1.6760666309247518,0.5140855388756748,0.4000639201206958,0.25135469266467336,0.15002531813790088,0.0855865782926769,0.052304285229974434,0.026009915893202777
0,JAM2,brain_amygdala,brain_nucleus_accumbens_basal_ganglia,0.4810904909144013,3.3163880578544322,0.4860646100112283,0.06934855165537508,8.175702685928912e-05,2.0015867034225083,0.5011855876024874,0.39522440084420696,0.2261203427975209,0.14739919136416213,0.09206440805804483,0.057510509408563115,0.03357095233800672
0,JAM2,brain_amygdala,brain_putamen_basal_ganglia,0.4322469432053153,3.7094744355128695,0.43779637513481245,0.12979227110843555,8.714210187610429e-05,1.436882747635168,0.43938003245029,0.3247826828976185,0.24218994516385633,0.1513575429977266,0.09112379055077124,0.05453491480753446,0.027600500746906943
0,JAM2,brain_amygdala,brain_spinal_cord_cervical_c-1,0.48717010814256323,3.8856946773872187,0.428517590505071,0.05888849415151622,7.280809713687532e-05,1.647017436580964,0.6202489474514538,0.40019973628234984,0.2731328077158127,0.14506723743380476,0.09192356135485516,0.05227570812862488,0.03038514851729438
