response,method,standardized_mse_mean,standardized_mse_sd,raw_mse_mean,raw_mse_sd
JAM2,COVER,0.28082019906505595,0.009915776919615248,0.06814758606521965,0.0025542887927425626
JAM2,TissueMean,1.0429989289663812,0.010770112892154075,0.27511710166596864,0.0022543483315552804
JAM2,GlobalMean,1.297987954266058,0.009758762716252013,0.33841707466595183,0.0010339672048660846
SH2D2A,COVER,0.6802090438227546,0.04293196744029288,0.05799721359815459,0.0017979639308220625
SH2D2A,TissueMean,1.2372735816896316,0.06405889686447999,0.10513682885165401,0.0006280204104215692
SH2D2A,GlobalMean,1.6491426480466025,0.06137382347335228,0.14941623776953392,0.0005377124973095211
