cv_repeat,method,equal_response_standardized_mse,equal_response_raw_mse,responses
0,ARMUL,0.4815001225767771,0.06453802604630954,2
0,COVER,0.47050070521954723,0.06303220524858488,2
0,FLARCC,0.4850871186809566,0.06519306442707741,2
0,HPS,0.48776991883790155,0.06517268445060832,2
0,MMoE,0.5298096066266575,0.06974150999796849,2
0,Pool,0.4852078668124524,0.06740004476247465,2
0,STL,0.5393786289015796,0.07047184345591884,2
1,ARMUL,0.4609237755511124,0.06145737855390035,2
1,COVER,0.45846710372514676,0.06132532463786943,2
1,FLARCC,0.46259053256801114,0.062386729452734525,2
1,HPS,0.46401592188778207,0.06162721056926229,2
1,MMoE,0.49262352483602,0.06643880858177266,2
1,Pool,0.4915656112404565,0.0673596141033048,2
1,STL,0.5192735612979231,0.06940470268288348,2
2,ARMUL,0.4783542669531625,0.06223843166875087,2
2,COVER,0.4862179707586324,0.06361462746047777,2
2,FLARCC,0.4979193760171034,0.06464561959432212,2
2,HPS,0.4828774228326727,0.0629870231026887,2
2,MMoE,0.5285467747137497,0.06898622492255152,2
2,Pool,0.5013845075256649,0.06933690309230349,2
2,STL,0.5663534097331074,0.07202979388235001,2
3,ARMUL,0.5447375899452234,0.06361202881438079,2
3,COVER,0.5465296068018828,0.06445789901291807,2
3,FLARCC,0.5602215573761671,0.06520766219875783,2
3,HPS,0.5601992137485918,0.06507586818673973,2
3,MMoE,0.6131442193565497,0.07072835267709035,2
3,Pool,0.5705449997776864,0.06983025312904029,2
3,STL,0.6107374432306825,0.07257913853078468,2
4,ARMUL,0.46404135423894216,0.06312318893182926,2
4,COVER,0.4539933900124577,0.06249238078144677,2
4,FLARCC,0.47252245861112313,0.06462075511065726,2
4,HPS,0.46891499463922576,0.06349360778762994,2
4,MMoE,0.5352693357379937,0.07290946209440399,2
4,Pool,0.48402560330995104,0.06670499531143925,2
4,STL,0.5546309570439026,0.07436953190704552,2
5,ARMUL,0.4757037523103538,0.06397585996418219,2
5,COVER,0.4687113021528024,0.06296355349272298,2
5,FLARCC,0.4803234714055604,0.06496980020081088,2
5,HPS,0.48528251394364164,0.06504431945649417,2
5,MMoE,0.5271366122508672,0.07022896591872874,2
5,Pool,0.4977285242906312,0.0688847535285447,2
5,STL,0.5416978804934329,0.07239788166830594,2
6,ARMUL,0.4861315019097814,0.06388221911691144,2
6,COVER,0.4734007837270815,0.06272136806325834,2
6,FLARCC,0.4724382402505606,0.062339371478376884,2
6,HPS,0.4859243716441308,0.06378186495972284,2
6,MMoE,0.506794171058421,0.067414334279245,2
6,Pool,0.4920139137963947,0.06779453737132586,2
6,STL,0.5474798772137394,0.0724552349242582,2
7,ARMUL,0.46443980722486855,0.06223055436920917,2
7,COVER,0.46646382549460397,0.06237073030676177,2
7,FLARCC,0.47098866711105614,0.06291946489417016,2
7,HPS,0.4706015593903743,0.06283581247706699,2
7,MMoE,0.5357277407190647,0.07067657290401672,2
7,Pool,0.5007358368324089,0.06828300548508226,2
7,STL,0.5449034594793123,0.0717130755223927,2
8,ARMUL,0.47777663915584734,0.06298005910500623,2
8,COVER,0.46741805507416784,0.0615389987286902,2
8,FLARCC,0.47932225236445936,0.06287420981381989,2
8,HPS,0.47445837803629953,0.061638407483318634,2
8,MMoE,0.5078767263727456,0.0668842869168117,2
8,Pool,0.4825185521545744,0.06572815182686896,2
8,STL,0.5420495949804429,0.07104337864042884,2
9,ARMUL,0.464787286508184,0.06272208794735429,2
9,COVER,0.4689016688207656,0.0627339274006962,2
9,FLARCC,0.48053829744789645,0.0645769705168846,2
9,HPS,0.484253765078273,0.06509117497017039,2
9,MMoE,0.5337748942758539,0.07093980625006407,2
9,Pool,0.4881104625142686,0.06688786984349135,2
9,STL,0.533123882876164,0.0707267510111132,2
10,ARMUL,0.4935307874674929,0.06582816168275821,2
10,COVER,0.48332594482006763,0.06632229763206797,2
10,FLARCC,0.4814933648649483,0.06505135630564826,2
10,HPS,0.4956424279473578,0.06563755642661044,2
10,MMoE,0.507839860180415,0.06912507362680959,2
10,Pool,0.5015733580081221,0.07130078594854854,2
10,STL,0.5563029259384613,0.07306542702819412,2
11,ARMUL,0.49610318084517524,0.06378363634462794,2
11,COVER,0.5029207991591074,0.0643955758009637,2
11,FLARCC,0.500152057715153,0.06452412640211669,2
11,HPS,0.5135985927676671,0.06519438919447312,2
11,MMoE,0.5597081585980246,0.07303232122144585,2
11,Pool,0.4871907248985521,0.0661219441014712,2
11,STL,0.5723572393498304,0.07164562876921823,2
12,ARMUL,0.48974093804448826,0.06426571950838998,2
12,COVER,0.4796238283889088,0.062619183090567,2
12,FLARCC,0.483628097566527,0.06375429740569112,2
12,HPS,0.47903651157871496,0.06307292951503321,2
12,MMoE,0.5154209415429403,0.06789138729671176,2
12,Pool,0.4984569556064843,0.06818916728123374,2
12,STL,0.551083002407429,0.07183969532333584,2
13,ARMUL,0.4695557473700858,0.06381128227011537,2
13,COVER,0.47098492108784157,0.06359889687463172,2
13,FLARCC,0.486048493306672,0.06587888891093337,2
13,HPS,0.4787301562676203,0.06470067685669659,2
13,MMoE,0.5465604005855893,0.07077484989461863,2
13,Pool,0.497330298015782,0.06779920552799809,2
13,STL,0.5315724923321941,0.07005757242872232,2
14,ARMUL,0.4797710367468056,0.06243460077977432,2
14,COVER,0.47713516716043075,0.06199448978927792,2
14,FLARCC,0.4825481830840473,0.06291663590603902,2
14,HPS,0.48560262675146,0.06308385952298731,2
14,MMoE,0.5150623606438882,0.0685924253501978,2
14,Pool,0.4896943752299448,0.06602145644189217,2
