left_tissue,right_tissue,overlap_trace,normalized_overlap_trace,invariant_normalized_overlap,invariant_overlap_rank,overlap_effective_rank,minimum_overlap_eigenvalue,maximum_overlap_eigenvalue,unweighted_head_distance,average_moment_head_energy,overlap_weighted_head_energy,supported_contrast_fraction,selected_coupling,pairwise_penalty_contribution,overlap_eigenvalue_1,overlap_eigenvalue_2,overlap_eigenvalue_3,overlap_eigenvalue_4,overlap_eigenvalue_5,overlap_eigenvalue_6,overlap_eigenvalue_7,overlap_eigenvalue_8,response,test_fold,cv_repeat
brain_amygdala,brain_anterior_cingulate_cortex_ba24,5.982482282326576,0.641521619772727,0.8284655774757539,8,2.244404555999689,0.0194839682296083,3.858671548952584,0.1102103077190609,0.0665055294321472,0.0607485308156652,0.9134357899916336,0.1,5.52259371051502e-05,3.858671548952584,0.7290822506739917,0.5254233581656569,0.3964348739599035,0.2689629352272452,0.1275738267237915,0.0568495203937952,0.0194839682296083,JAM2,0,0
brain_amygdala,brain_caudate_basal_ganglia,3.871160145086014,0.4042009137509457,0.6850829111925165,8,2.7078977972870817,0.0162516857557516,2.220603029425754,0.1638836588901925,0.535386472873977,0.166824365275675,0.31159615292511,0.1,0.0001516585138869,2.220603029425754,0.5109653937518627,0.4214481339921682,0.3197655577789186,0.2145241273311915,0.1136031583400419,0.053999058710325,0.0162516857557516,JAM2,0,0
brain_amygdala,brain_cerebellar_hemisphere,2.233503679547129,0.2660718173591748,0.631878298722722,8,4.778589361777068,0.0197750630973928,0.7321902622968962,0.2336895537856349,0.3442300591683316,0.0865251530379538,0.2513585049690336,0.1,7.865923003450348e-05,0.7321902622968962,0.4865094612867437,0.3633349047173621,0.2871604702029685,0.218891230875696,0.0781602731574012,0.0474820139126682,0.0197750630973928,JAM2,0,0
brain_amygdala,brain_cerebellum,2.625853176421583,0.3502638862950346,0.670159469586828,8,3.795471375564251,0.0208463715228726,1.1500955701659523,0.2879102730145932,0.3425374513067249,0.1063563087318438,0.3104954168547461,0.1,9.668755339258531e-05,1.1500955701659523,0.5013626044810535,0.3462458931924634,0.275840386641122,0.189314705426959,0.0818038239321938,0.0603438210589658,0.0208463715228726,JAM2,0,0
brain_amygdala,brain_cortex,5.320199230156657,0.6106983536378302,0.7818316490170079,8,2.4067258737376243,0.0179502589391391,3.286667919015436,0.1723224129441463,0.0997403249763653,0.0552941679850261,0.5543812695429734,0.1,5.026742544093286e-05,3.286667919015436,0.7056671635679614,0.4741511286127957,0.3955339084547321,0.2092031671541359,0.1803139473108574,0.0507117371015989,0.0179502589391391,JAM2,0,0
brain_amygdala,brain_frontal_cortex_ba9,4.803091869140644,0.5936298246836774,0.7691172920470605,8,2.7189761660337357,0.0171593361064018,2.7302540420512225,0.1317064234230293,0.3266440443503089,0.1501658085093536,0.459723087276952,0.1,0.0001365143713721,2.7302540420512225,0.7517576779406129,0.4950639705696804,0.3801226364509871,0.2237922091790554,0.1489018587510469,0.0560401380916367,0.0171593361064018,JAM2,0,0
brain_amygdala,brain_hypothalamus,5.423301488481632,0.6444591611319018,0.8448955660766453,8,2.76474773826618,0.0193481457787662,3.0387819178646445,0.1434528676079718,0.120941994740499,0.0745324821830649,0.6162663543212316,0.1,6.775680198460449e-05,3.0387819178646445,0.8460358848690072,0.6749544183682595,0.3555514788809134,0.2854017273937003,0.1455573282178361,0.057670587108506,0.0193481457787662,JAM2,0,0
brain_amygdala,brain_nucleus_accumbens_basal_ganglia,6.268064940699645,0.6758186966034777,0.789490371519604,8,1.9671656297939104,0.0253029092821443,4.3787609269854,0.1632995574783177,0.1006635942226067,0.068353862129776,0.6790326001932613,0.1,6.213987466343274e-05,4.3787609269854,0.5701346534064551,0.5302135333426738,0.3288033394113868,0.255749676713841,0.1233222279751321,0.0557776735826112,0.0253029092821443,JAM2,0,0
brain_amygdala,brain_putamen_basal_ganglia,4.36595336770147,0.4672703182404283,0.712658331276641,8,2.677149135454428,0.0217743953363894,2.525405423398465,0.1201396754923025,0.1579801789581375,0.0542437272811735,0.3433578037378182,0.1,4.931247934652144e-05,2.525405423398465,0.5566862641290569,0.4810999459660516,0.3521983807743208,0.2363041544533328,0.1292595558207117,0.0632252478231423,0.0217743953363894,JAM2,0,0
brain_amygdala,brain_spinal_cord_cervical_c-1,4.081069733471595,0.4699103570110465,0.703128177224939,8,3.764865734305783,0.0260981769504895,1.725310354016208,0.2082584245543955,0.1497706971314865,0.0501205912038814,0.3346488476305859,0.1,4.5564173821710416e-05,1.725310354016208,0.9186707137977276,0.6368323099607385,0.3571709719440044,0.2105556951247935,0.1464078849618536,0.0600236267157795,0.0260981769504895,JAM2,0,0
