method,standardized_mse_mean,standardized_mse_sd,raw_mse_mean,raw_mse_sd
COVER,0.4805146214439053,0.020255527572348442,0.06307239983168712,0.0012852098852038551
TissueMean,1.1401362553280063,0.03314068232109918,0.19012696525881131,0.0011695708120294526
GlobalMean,1.4735653011563303,0.03230890110625149,0.2439166562177429,0.0005216827462200252
