cv_repeat,response,method,task_balanced_standardized_mse,task_balanced_raw_mse,tissues
0,JAM2,ARMUL,0.2900058639222927,0.07092894198563159,11
0,JAM2,COVER,0.2831683255587731,0.06960004162302556,11
0,JAM2,FLARCC,0.292791182150016,0.0717002672850051,11
0,JAM2,HPS,0.2931248663832721,0.07127018131715392,11
0,JAM2,MMoE,0.3117544063311546,0.0753082744928382,11
0,JAM2,Pool,0.317035477483248,0.07814034802367888,11
0,JAM2,STL,0.3146888176916767,0.07569776694191253,11
0,SH2D2A,ARMUL,0.6729943812312615,0.0581471101069875,11
0,SH2D2A,COVER,0.6578330848803213,0.05646436887414421,11
0,SH2D2A,FLARCC,0.6773830552118972,0.058685861569149726,11
0,SH2D2A,HPS,0.682414971292531,0.05907518758406272,11
0,SH2D2A,MMoE,0.7478648069221606,0.06417474550309878,11
0,SH2D2A,Pool,0.6533802561416568,0.05665974150127042,11
0,SH2D2A,STL,0.7640684401114826,0.06524591996992513,11
1,JAM2,ARMUL,0.27531283702463494,0.06632130724717483,11
1,JAM2,COVER,0.2755457412757399,0.06643575045416948,11
1,JAM2,FLARCC,0.28109184555548605,0.06802619723766819,11
1,JAM2,HPS,0.275607768355934,0.06621952031442281,11
1,JAM2,MMoE,0.29306089613168457,0.07234060347485438,11
1,JAM2,Pool,0.3139916713576228,0.07593145530513654,11
1,JAM2,STL,0.3087698243400532,0.07505674702040153,11
1,SH2D2A,ARMUL,0.6465347140775899,0.05659344986062587,11
1,SH2D2A,COVER,0.6413884661745537,0.05621489882156938,11
1,SH2D2A,FLARCC,0.6440892195805362,0.05674726166780086,11
1,SH2D2A,HPS,0.6524240754196302,0.057034900824101765,11
1,SH2D2A,MMoE,0.6921861535403554,0.06053701368869094,11
1,SH2D2A,Pool,0.6691395511232902,0.05878777290147305,11
1,SH2D2A,STL,0.7297772982557931,0.06375265834536542,11
2,JAM2,ARMUL,0.2828949619702104,0.06818699990302417,11
2,JAM2,COVER,0.28712058273691565,0.0696381314748051,11
2,JAM2,FLARCC,0.2917056004311791,0.07063278631523537,11
2,JAM2,HPS,0.2861434478920091,0.06935847414913408,11
2,JAM2,MMoE,0.32286374492426284,0.07741166928596667,11
2,JAM2,Pool,0.3372485850630691,0.08287483112362769,11
2,JAM2,STL,0.3186588434102667,0.07716988591135167,11
2,SH2D2A,ARMUL,0.6738135719361146,0.05628986343447757,11
2,SH2D2A,COVER,0.6853153587803491,0.05759112344615043,11
2,SH2D2A,FLARCC,0.7041331516030277,0.05865845287340887,11
2,SH2D2A,HPS,0.6796113977733363,0.05661557205624332,11
2,SH2D2A,MMoE,0.7342298045032365,0.060560780559136385,11
2,SH2D2A,Pool,0.6655204299882608,0.0557989750609793,11
2,SH2D2A,STL,0.8140479760559483,0.06688970185334835,11
3,JAM2,ARMUL,0.2619081892016745,0.06482549606297075,11
3,JAM2,COVER,0.26559510700261063,0.06577439529395333,11
3,JAM2,FLARCC,0.2692943080406335,0.06679045760438378,11
3,JAM2,HPS,0.27038464902210957,0.06695632295167145,11
3,JAM2,MMoE,0.2937297224290988,0.0720208947988942,11
3,JAM2,Pool,0.3147989276377035,0.07684899951397459,11
3,JAM2,STL,0.31550357217570874,0.07689208739697265,11
3,SH2D2A,ARMUL,0.8275669906887722,0.06239856156579082,11
3,SH2D2A,COVER,0.827464106601155,0.06314140273188279,11
3,SH2D2A,FLARCC,0.8511488067117008,0.06362486679313188,11
3,SH2D2A,HPS,0.8500137784750741,0.06319541342180801,11
3,SH2D2A,MMoE,0.9325587162840006,0.06943581055528651,11
3,SH2D2A,Pool,0.8262910719176692,0.062811506744106,11
3,SH2D2A,STL,0.9059713142856561,0.06826618966459673,11
4,JAM2,ARMUL,0.2857482299961849,0.06884647028111418,11
4,JAM2,COVER,0.283957573056135,0.06876550328402667,11
4,JAM2,FLARCC,0.29370312931602804,0.07096198712964673,11
4,JAM2,HPS,0.28968842550524876,0.06937626989220455,11
4,JAM2,MMoE,0.3403620172456771,0.0817291370915891,11
