cv_repeat,response,method,tissue,standardized_sse,raw_sse,test_samples,standardized_mse,raw_mse
0,JAM2,ARMUL,brain_amygdala,44.341489731073246,12.372557364921756,152,0.29172032717811347,0.0813984037165905
0,JAM2,ARMUL,brain_anterior_cingulate_cortex_ba24,73.38307413692522,12.59648885101382,176,0.41694928486889327,0.07157095938076034
0,JAM2,ARMUL,brain_caudate_basal_ganglia,56.026880310880586,13.385411335309572,246,0.22775154597918937,0.05441224120044541
0,JAM2,ARMUL,brain_cerebellar_hemisphere,32.805603311229866,9.598653263114315,215,0.15258420144758078,0.044644898898206116
0,JAM2,ARMUL,brain_cerebellum,49.17716100177931,10.868971600871824,241,0.20405460996588926,0.045099467223534535
0,JAM2,ARMUL,brain_cortex,108.51211012659918,20.74413033969168,255,0.4255376867709772,0.08134953074388894
0,JAM2,ARMUL,brain_frontal_cortex_ba9,94.6030571426962,14.510229053492731,209,0.45264620642438375,0.06942693327030015
0,JAM2,ARMUL,brain_hypothalamus,77.21005898160013,22.492129442756564,202,0.3822280147603967,0.11134717545919091
0,JAM2,ARMUL,brain_nucleus_accumbens_basal_ganglia,65.83893072615825,19.749804804010502,246,0.2676379297811311,0.08028375936589635
0,JAM2,ARMUL,brain_putamen_basal_ganglia,39.89236771592776,9.234398046255913,205,0.1945969156874525,0.045045844128077626
0,JAM2,ARMUL,brain_spinal_cord_cervical_c-1,27.722887064712804,15.206624604353973,159,0.1743577802812126,0.09563914845505643
0,JAM2,COVER,brain_amygdala,44.09368709935301,12.25179332849562,152,0.2900900467062698,0.08060390347694486
0,JAM2,COVER,brain_anterior_cingulate_cortex_ba24,67.87175065442592,11.591700876404822,176,0.38563494690014727,0.06586193679775466
0,JAM2,COVER,brain_caudate_basal_ganglia,56.435955467948645,13.507216014891187,246,0.22941445312174247,0.05490738217435442
0,JAM2,COVER,brain_cerebellar_hemisphere,31.478128475422803,9.20158193688373,215,0.14640989988568745,0.04279805552038944
0,JAM2,COVER,brain_cerebellum,50.11875055905793,11.20371483542099,241,0.20796162057700385,0.04648844330050204
0,JAM2,COVER,brain_cortex,107.32129810306681,20.50246710282595,255,0.4208678356983012,0.08040183177578804
0,JAM2,COVER,brain_frontal_cortex_ba9,90.87037828192331,13.927416512453563,209,0.43478649895657084,0.06663835651891657
0,JAM2,COVER,brain_hypothalamus,74.8532609917697,21.83869865350569,202,0.37056069797905794,0.10811236957181035
0,JAM2,COVER,brain_nucleus_accumbens_basal_ganglia,63.29794548024011,19.001371263495134,246,0.2573087214643907,0.07724134659957371
0,JAM2,COVER,brain_putamen_basal_ganglia,39.18635830719355,9.031853214587176,205,0.19115296735216367,0.04405782055896183
0,JAM2,COVER,brain_spinal_cord_cervical_c-1,28.72555890832176,15.659752837767371,159,0.1806638925051683,0.09848901155828535
0,JAM2,FLARCC,brain_amygdala,46.402583369675924,13.008778134743704,152,0.30528015374786793,0.08558406667594542
0,JAM2,FLARCC,brain_anterior_cingulate_cortex_ba24,72.73824940518038,12.496231399058319,176,0.41328550798397945,0.07100131476737681
0,JAM2,FLARCC,brain_caudate_basal_ganglia,56.24782253901314,13.458405155134063,246,0.2286496851179396,0.05470896404526042
0,JAM2,FLARCC,brain_cerebellar_hemisphere,30.998742426084988,9.076649765514029,215,0.14418019733062784,0.042216975653553625
0,JAM2,FLARCC,brain_cerebellum,51.19677609211525,11.263353610577708,241,0.21243475556894295,0.04673590709783281
0,JAM2,FLARCC,brain_cortex,108.77587271089621,20.776795274878317,255,0.4265720498466518,0.08147762852893457
0,JAM2,FLARCC,brain_frontal_cortex_ba9,95.9156227143251,14.760224400061968,209,0.458926424470455,0.07062308325388501
