response,method,standardized_mse_mean,standardized_mse_sd,raw_mse_mean,raw_mse_sd,standardized_mean_sd
JAM2,ARMUL,0.2806360189032241,0.0087985098133502,0.0680542842412014,0.002096672386893,0.2806 (0.0088)
JAM2,COVER,0.2808201990650559,0.0099157769196152,0.0681475860652196,0.0025542887927425,0.2808 (0.0099)
JAM2,HPS,0.2845133467662609,0.0098523375387101,0.0687373208581353,0.0022805747268366,0.2845 (0.0099)
JAM2,FLARCC,0.2857610339223823,0.0103771433846611,0.0693852422202838,0.0024323362300498,0.2858 (0.0104)
JAM2,MMoE,0.3139360133050567,0.0169561850030925,0.0755401611480303,0.0035791139139699,0.3139 (0.0170)
JAM2,Pool,0.3174865146484362,0.0092315430134265,0.0769685836287906,0.0025035481944237,0.3175 (0.0092)
JAM2,STL,0.3220016838073237,0.0097517547673402,0.0772931262195738,0.0018497582145491,0.3220 (0.0098)
SH2D2A,Pool,0.6786404998053597,0.039954027615596,0.058291441166226,0.001773076556114,0.6786 (0.0400)
SH2D2A,COVER,0.6802090438227546,0.0429319674402928,0.0579972135981545,0.001797963930822,0.6802 (0.0429)
SH2D2A,ARMUL,0.6831419763862936,0.0435226602766771,0.0583727120541636,0.0022272686302993,0.6831 (0.0435)
SH2D2A,FLARCC,0.6886830902470079,0.0446513154871187,0.0587177450912492,0.00177265749389,0.6887 (0.0447)
SH2D2A,HPS,0.6918244915338818,0.0440304751283524,0.0588234854654664,0.0019019440406974,0.6918 (0.0440)
SH2D2A,MMoE,0.7502683422642523,0.0565062391924873,0.0631272224595029,0.0026444993372894,0.7503 (0.0565)
SH2D2A,STL,0.7844701088971214,0.0524275302188698,0.0659244625976802,0.0016863366856516,0.7845 (0.0524)
JAM2,TissueMean,1.0429989289663812,0.010770112892154,0.2751171016659686,0.0022543483315552,
JAM2,GlobalMean,1.297987954266058,0.009758762716252,0.3384170746659518,0.001033967204866,
SH2D2A,TissueMean,1.2372735816896316,0.0640588968644799,0.105136828851654,0.0006280204104215,
SH2D2A,GlobalMean,1.6491426480466025,0.0613738234733522,0.1494162377695339,0.0005377124973095,
Overall,COVER,0.4805146214439053,0.0202555275723484,0.0630723998316871,0.0012852098852038,0.4805 (0.0203)
Overall,ARMUL,0.4818889976447589,0.0198424498530907,0.0632134981476825,0.0011628171167706,0.4819 (0.0198)
Overall,FLARCC,0.487222062084695,0.0210842278224138,0.0640514936557665,0.0012650486877759,0.4872 (0.0211)
Overall,HPS,0.4881689191500712,0.020655298495728,0.0637804031618009,0.0013878361572919,0.4882 (0.0207)
Overall,Pool,0.4980635072268979,0.0212334503291326,0.0676300123975083,0.0014177151162907,0.4981 (0.0212)
Overall,MMoE,0.5321021777846545,0.0288570498927089,0.0693336918037666,0.0020101093774435,0.5321 (0.0289)
Overall,STL,0.5532358963522226,0.0275148824082583,0.071608794408627,0.0014253145958086,0.5532 (0.0275)
Overall,TissueMean,1.1401362553280063,0.0331406823210991,0.1901269652588113,0.0011695708120294,
Overall,GlobalMean,1.4735653011563303,0.0323089011062514,0.2439166562177429,0.00052168274622,
