overlap,population_outlier_overlap_degree_n,population_outlier_overlap_degree_mean,population_outlier_overlap_degree_sd,population_outlier_overlap_degree_se,learned_outlier_overlap_degree_n,learned_outlier_overlap_degree_mean,learned_outlier_overlap_degree_sd,learned_outlier_overlap_degree_se,outlier_excess_mse_n,outlier_excess_mse_mean,outlier_excess_mse_sd,outlier_excess_mse_se,mean_inlier_excess_mse_n,mean_inlier_excess_mse_mean,mean_inlier_excess_mse_sd,mean_inlier_excess_mse_se
0.001,100,0.0598942244005515,0.0,0.0,100,0.756036841915178,0.0345731234633824,0.0034573123463382,100,0.5045265082408711,0.0895554743729691,0.0089555474372969,100,0.1076505305782853,0.0085972364359794,0.0008597236435979
0.003,100,0.1612907259930558,0.0,0.0,100,0.750745609219057,0.0318066552522022,0.0031806655252202,100,0.5060761332341173,0.0799162999588125,0.0079916299958812,100,0.1099333798018911,0.0081245731984153,0.0008124573198415
0.01,100,0.3957563673028647,0.0,0.0,100,0.7520789685092197,0.0318981166188325,0.0031898116618832,100,0.5163706452482804,0.0905236233232313,0.0090523623323231,100,0.1128714430042416,0.0076613126658565,0.0007661312665856
0.03,100,0.6763163678744746,0.0,0.0,100,0.7622073513453792,0.0207943369526624,0.0020794336952662,100,0.6023155587628033,0.1066959277804625,0.0106695927780462,100,0.118937926892897,0.0074568292754464,0.0007456829275446
1.0,100,0.9999999999999996,0.0,0.0,100,0.8758100595432609,0.0163963936631803,0.001639639366318,100,1.7731963736984953,0.2244842511879496,0.0224484251187949,100,0.1716593111605121,0.0153172021729863,0.0015317202172986
