method,excess_mse_n,excess_mse_mean,excess_mse_sd,excess_mse_se,worst_task_excess_mse_n,worst_task_excess_mse_mean,worst_task_excess_mse_sd,worst_task_excess_mse_se,deviation_mse_n,deviation_mse_mean,deviation_mse_sd,deviation_mse_se
ARMUL,100,0.1512889907903067,0.0066422344825081475,0.0006642234482508147,100,0.3394023447395136,0.060369876487054164,0.006036987648705416,100,0.1997335405216666,0.021711923105705706,0.0021711923105705707
COVER,100,0.15077224041447582,0.006427975987299943,0.0006427975987299943,100,0.336254330807788,0.06341456746976029,0.006341456746976029,100,0.19355942732619358,0.019542941064889803,0.0019542941064889805
FLARCC,100,0.20123104407358972,0.01559814817221242,0.0015598148172212421,100,0.4382824967865025,0.07966176779861528,0.007966176779861528,100,0.2665536953859821,0.029275093082471466,0.0029275093082471466
HPS,100,0.15487219450106912,0.0069027250631101735,0.0006902725063110173,100,0.34669478348619553,0.06336144335866226,0.006336144335866226,100,0.19812939653979394,0.019699658645059005,0.0019699658645059006
MMoE,100,0.17967956280662745,0.008667898158150894,0.0008667898158150894,100,0.4153280193368324,0.07866708675272066,0.007866708675272066,100,0.22249660618075967,0.014632152021047238,0.0014632152021047237
Pool,100,0.9358551000369145,0.02562601727006424,0.002562601727006424,100,2.885377621950003,0.5576751914792616,0.05576751914792616,100,1.0006190895062057,0.004456834416318733,0.00044568344163187326
STL,100,0.16356347192925977,0.007907377670993055,0.0007907377670993054,100,0.4030850901364883,0.10170041155297278,0.010170041155297278,100,0.19930588484720196,0.010396267470255821,0.0010396267470255821
