axis,value,method,excess_mse_n,excess_mse_mean,excess_mse_sd,excess_mse_se,deviation_mse_n,deviation_mse_mean,deviation_mse_sd,deviation_mse_se,selected_coupling_n,selected_coupling_mean,selected_coupling_sd,selected_coupling_se,normalized_overlap_strength_n,normalized_overlap_strength_mean,normalized_overlap_strength_sd,normalized_overlap_strength_se,overlap_energy_n,overlap_energy_mean,overlap_energy_sd,overlap_energy_se,supported_contrast_fraction_n,supported_contrast_fraction_mean,supported_contrast_fraction_sd,supported_contrast_fraction_se
covariate,0.001,Average-Moment,100,0.11487870965606975,0.007491424920038875,0.0007491424920038875,100,0.8629209861029665,0.1913247779176102,0.01913247779176102,100,0.606,0.3692252330587289,0.03692252330587289,100,0.16591701738098805,3.812824486240344e-05,3.812824486240344e-06,100,0.04377525837708534,7.626610954520223e-05,7.626610954520224e-06,100,0.03277958751020461,5.672954499407931e-05,5.672954499407931e-06
covariate,0.001,COVER,100,0.1058572793961685,0.007057763947020701,0.0007057763947020702,100,0.6672474231617774,0.07852995845578899,0.007852995845578898,100,1.84,0.9920899274977165,0.09920899274977166,100,0.16591701738098805,3.812824486240344e-05,3.812824486240344e-06,100,0.04377525837708534,7.626610954520223e-05,7.626610954520224e-06,100,0.03277958751020461,5.672954499407931e-05,5.672954499407931e-06
covariate,0.001,HPS,100,0.13108898284119072,0.009408401612606374,0.0009408401612606374,100,0.2803590229515896,0.04049962480892352,0.004049962480892353,100,0.0,0.0,0.0,100,0.16591701738098805,3.812824486240344e-05,3.812824486240344e-06,100,0.04377525837708534,7.626610954520223e-05,7.626610954520224e-06,100,0.03277958751020461,5.672954499407931e-05,5.672954499407931e-06
covariate,0.03,Average-Moment,100,0.18066332143939198,0.008356261240909912,0.0008356261240909912,100,0.2214745356640146,0.024644424331769256,0.0024644424331769256,100,0.4814,3.143908980356727,0.3143908980356727,100,0.4964809378271717,0.000544694451769646,5.44694451769646e-05,100,0.3750826174530229,0.0016782089346345087,0.00016782089346345088,100,0.26642863869479994,0.0011190513620778502,0.00011190513620778502
covariate,0.03,COVER,100,0.17751674933762793,0.008886612428059309,0.0008886612428059309,100,0.22699564074676817,0.023203717480477035,0.0023203717480477035,100,0.24169999999999997,0.12512664291699338,0.012512664291699338,100,0.4964809378271717,0.000544694451769646,5.44694451769646e-05,100,0.3750826174530229,0.0016782089346345087,0.00016782089346345088,100,0.26642863869479994,0.0011190513620778502,0.00011190513620778502
covariate,0.03,HPS,100,0.18693967244282333,0.009120635731915648,0.0009120635731915648,100,0.20817889963736405,0.017425858943634156,0.0017425858943634156,100,0.0,0.0,0.0,100,0.4964809378271717,0.000544694451769646,5.44694451769646e-05,100,0.3750826174530229,0.0016782089346345087,0.00016782089346345088,100,0.26642863869479994,0.0011190513620778502,0.00011190513620778502
covariate,0.1,Average-Moment,100,0.22408444068991915,0.010486999833676437,0.0010486999833676438,100,0.2121497094050593,0.012379167486290796,0.0012379167486290797,100,1.724,10.499892255339452,1.0499892255339451,100,0.7895321890104456,0.0005585619645767995,5.5856196457679946e-05,100,0.9115056882730902,0.003943418692105985,0.0003943418692105985,100,0.5880199401816817,0.0020650555761390823,0.00020650555761390823
covariate,0.1,COVER,100,0.2218988600900358,0.010311339209243422,0.0010311339209243423,100,0.2087148968712578,0.011572441868575267,0.0011572441868575266,100,2.6836,14.352074042915657,1.4352074042915657,100,0.7895321890104456,0.0005585619645767995,5.5856196457679946e-05,100,0.9115056882730902,0.003943418692105985,0.0003943418692105985,100,0.5880199401816817,0.0020650555761390823,0.00020650555761390823
covariate,0.1,HPS,100,0.23140649266307053,0.011490739009574409,0.0011490739009574408,100,0.21542996955678148,0.011841894732805449,0.001184189473280545,100,0.0,0.0,0.0,100,0.7895321890104456,0.0005585619645767995,5.5856196457679946e-05,100,0.9115056882730902,0.003943418692105985,0.0003943418692105985,100,0.5880199401816817,0.0020650555761390823,0.00020650555761390823
covariate,0.3,Average-Moment,100,0.2752385295903828,0.010441972864339389,0.0010441972864339388,100,0.234648958031893,0.009276395076312402,0.0009276395076312403,100,2.7388,14.378982085606122,1.4378982085606122,100,0.9585805554632381,0.00025625405953665385,2.5625405953665384e-05,100,1.6168128175927043,0.0051206815365156194,0.0005120681536515619,100,0.8898642461882923,0.001574464600062844,0.00015744646000628442
