design,couplings,median_relative_error,maximum_relative_error
diagonal,31,0.0004575385470395,0.00310008326365
equal,31,0.001041220707622,0.0028784963889509
near_singular,31,0.0027825206147433,0.0043186779429132
random_spd,31,0.0014000857970606,0.0034796515734589
rotated,31,0.0010335309030939,0.0016920418359047
